Prefix,Assignment,Tutorial,Midterm,TakeHome,Final
05,57.14,34.09,64.38,51.48,72
08,95.05,105.49,67.50,99.07,57
08,83.70,83.17,30.0,63.15,48.89
07,91.28,83.53,81.25,99.81,92.22
08,84.80,89.08,44.38,16.91,35.83
07,93.83,95.43,88.12,80.93,90.0
08,84.80,89.08,47.50,16.91,53.33
04,92.01,102.52,38.75,86.11,49.17
08,55.14,81.85,75.0,56.11,62.50
08,93.04,82.93,79.38,83.33,91.11
08,63.40,86.21,63.12,72.78,
08,75.27,97.52,63.12,61.11,66.11
08,63.78,76.21,39.38,42.22,34.44
07,80.44,90.20,46.25,91.48,72.22
07,53.36,82.01,74.38,102.59,56.39
06,91.28,95.24,82.50,97.59,92.78
08,82.45,86.65,93.12,85.56,89.17
08,75.27,86.67,69.38,61.11,88.89
08,91.32,94.89,76.25,107.41,85.56
07,91.62,65.18,71.88,90.0,45.56
07,98.58,102.46,67.50,97.59,63.33
07,86.26,88.57,70.0,87.59,55.0
08,67.29,95.64,48.12,72.22,43.33
07,98.58,91.03,101.25,104.26,107.78
